Section,Ix,fMsx,Type
150UB14.0,6.66,29.4,UB
150UB18.0,9.05,38.9,UB
180UB16.1,10.6,39.7,UB
180UB18.1,12.1,45.2,UB
180UB22.2,15.3,56.2,UB
200UB18.2,15.8,51.8,UB
200UB22.3,21,65.4,UB
200UB25.4,23.6,74.6,UB
200UB29.8,29.1,91,UB
250UB25.7,35.4,91.9,UB
250UB31.4,44.5,113.8,UB
250UB37.3,55.7,140,UB
310UB32.0,63.2,134.5,UB
310UB40.4,86.4,182.3,UB
310UB46.2,100,196.8,UB
360UB44.7,121,221.8,UB
360UB50.7,142,242.2,UB
360UB56.7,161,272.7,UB
410UB53.7,188,305.3,UB
410UB59.7,216,324,UB
460UB67.1,296,399.6,UB
460UB74.6,335,448.2,UB
460UB82.1,372,496.8,UB
530UB82.0,477,558.9,UB
530UB92.4,554,639.9,UB
610UB101,761,783,UB
610UB113,875,829.1,UB
610UB125,986,927.4,UB
100UC14.8,3.18,21.4,UC
150UC23.4,12.6,50.7,UC
150UC30.0,17.6,72,UC
150UC37.2,22.2,83.7,UC
200UC46.2,45.9,133.4,UC
200UC52.2,52.8,153.9,UC
200UC59.5,61.3,177.1,UC
250UC72.9,114,266.2,UC
250UC89.5,143,310,UC
310UC96.8,223,421.2,UC
310UC118,277,493.9,UC
310UC137,329,579.6,UC
310UC158,388,675.4,UC
75PFC,0.683,6.2,PFC
100PFC,1.74,11.6,PFC
125PFC,3.97,21,PFC
150PFC,8.34,37.2,PFC
180PFC,14.1,49.1,PFC
200PFC,19.1,59.7,PFC
230PFC,26.8,73.2,PFC
250PFC,45.1,113.7,PFC
300PFC,72.4,152.3,PFC
380PFC,152,238.4,PFC
